Pesticides Name,Symptoms,Cronical Diseases
Acephate,"nausea, dizziness, confusion and at very high exposures (e.g., accidents or major spills)","Organophosphate poisoning, affecting the nervous system by inhibiting acetylcholinesterase,"
Imidacloprid,"fatigue, headache, muscle weakness, and eye and skin irritation.",Neurotoxicity due to nicotinic acetylcholine receptor binding
Azadirachtin,"skin irritation, Eyes irritation, Gastrointestinal","Liver damage, Kidney damage"
Chlorpyrifos," runny nose, tears, and increased saliva or drooling,nausea, diarrhea,","Seizures, Coma, Organ damage, Death"
Lambda-cyhalothrin,"Skin tingling, burning, and prickling feelings",coagulation necrosis (acute) and granulomatous inflammation and bile duct hyperplasia (chronic) in the liver. 
Emamectin benzoate,"sore throat, gastrointestinal symptoms, central nervous system depression, and potential aspiration pneumonia",Asthma
Spinosad,"Burning, dryness, flaking, itching, pain, redness, rash, swelling",mild neurotoxic effects
Bacillus thuringiensis,"watery eyes, breathing problems, and headaches.",rare allergic reactions in sensitive individuals.
Carbaryl,"blurred vision, sweating, nausea and vomiting, and abdominal pain","Carbamate poisoning; neurotoxicity due to acetylcholinesterase inhibition, with potential respiratory failure."
Dimethoate,"diarrhea, loss of coordination and muscle twitching.",Organophosphate poisoning; neurotoxicity with possible respiratory paralysis.
Chlorantraniliprole,Mild skin and eye irritation,liver impacts with chronic exposure
Abamectin,"nausea, vomiting, diarrhea, weakness, drowsiness, and agitation","hypotension, coma, and respiratory failure"
Bifenazate,"pale extremities, dried red material on the forelimbs or around the nose, dried brown vaginal discharge, and decreased",potential reproductive effects.
Malathion,"nausea, vomiting, stomach cramps, and diarrhea, as well as confusion, blurred vision, sweating, muscle twitching,",HeartAttack
Thiamethoxam,"Headache, dizziness, nausea, vomiting, abdominal cramps, diarrhe",Neurotoxicity affecting nicotinic acetylcholine receptors
Bifenthrin,"Headache, nausea and vomiting, dizziness and convulsions",Neurotoxicity with potential liver effects
Dinotefuran,"Skin irritation, eyes irritation",impacts on the liver and reproductive health
Buprofezin,"headache, and dizziness.",liver and kidney effects with chronic exposure.
Acetamiprid,"Nausea, Vomiting, Muscle weakness, Convulsions, Tachycardia, Hypotension, Altered level of consciousness,",Respiratory failure
Carbofuran,"weakness, sweating, nausea and vomiting, abdominal pain, and blurred vision",Neurotoxicity
Cartap hydrochloride,"nausea, vomiting tremulousness, salivation, spasms, dyspnea, and mydriasis",liver impacts with prolonged exposure.
Cartap,"Dizziness, headache, nausea, muscle weakness, and mild skin irritation.",affecting nicotinic acetylcholine receptors
Neonicotinoids,"nausea, vomiting, abdominal pain, and corrosive damage to orogastric mucosa",Potential impacts on liver function with chronic exposure.
Methomyl,"nausea, dizziness, confusion and at very high exposures (e.g., accidents or major spills)",Respiratory paralysis
Pyrethroids,"dizziness, headache, nausea, muscle twitching, reduced energy, changes in awareness, convulsions and loss of consciousness.",Potential impacts on liver function with chronic exposure.
Methoxyfenozide,mild irritation to the eyes and skin,"mild neurotoxic effects,"
Spiromesifen,"Eye irritation, skin irritation, headaches, nausea, and dizziness.",liver damage and disrupt endocrine function.
